# Program:featureCounts v1.5.2; Command:"featureCounts" "-T" "8" "-t" "exon" "-f" "-g" "ID" "-p" "-O" "-a" "/gpfs/group/pipkin/Exp337/codes/GRCm38_exon_rmdup_srt_cb_srt_dupr_f.gff" "-o" "337-17_f.txt" "/gpfs/group/pipkin/Exp337/srt_flt_bam/non_dupr/stranded_bam/337-17_neg_pSrt.bam" 
Geneid	Chr	Start	End	Strand	Length	/gpfs/group/pipkin/Exp337/srt_flt_bam/non_dupr/stranded_bam/337-17_neg_pSrt.bam
ENSMUSE00001403910	10	129461862	129467485	+	5624	0
ENSMUSE00001094631	10	129462678	129463616	+	939	0
ENSMUSE00001403731	10	129470998	129476618	+	5621	0
ENSMUSE00000371645	10	129472694	129473629	+	936	0
ENSMUSE00001397168	10	129484752	129490542	+	5791	1
ENSMUSE00001395731	10	129484760	129490542	+	5783	1
ENSMUSE00001401436	10	129498492	129503342	+	4851	0
ENSMUSE00001369844	10	129498650	129503342	+	4693	0
ENSMUSE00000362972	10	129500813	129501882	+	1070	0
ENSMUSE00001401669	10	129521792	129528353	+	6562	0
ENSMUSE00000374228	10	129526229	129527167	+	939	0
ENSMUSE00001394771	10	129539162	129542534	+	3373	0
ENSMUSE00001057490	10	129540539	129541474	+	936	0
ENSMUSE00001369043	10	129547660	129548554	+	895	0
ENSMUSE00001365123	10	129567655	129573110	+	5456	0
ENSMUSE00000333755	10	129570657	129571619	+	963	0
ENSMUSE00001365774	10	129578680	129579442	+	763	0
ENSMUSE00001400231	10	129637484	129648326	+	10843	1
ENSMUSE00001068980	10	129647130	129648065	+	936	0
ENSMUSE00001403590	10	129657694	129662074	+	4381	0
ENSMUSE00000665056	10	129659804	129660743	+	940	0
ENSMUSE00000846657	10	129695978	129696101	+	124	0
ENSMUSE00001394385	10	129703210	129710018	+	6809	0
ENSMUSE00001401704	10	129703233	129710018	+	6786	0
ENSMUSE00001073531	10	129704880	129705824	+	945	0
ENSMUSE00001070050	10	129733232	129733298	+	67	0
ENSMUSE00001368853	10	129765482	129771713	+	6232	0
ENSMUSE00000413326	10	129767498	129768436	+	939	0
ENSMUSE00001367262	10	129774638	129778937	+	4300	0
ENSMUSE00000665054	10	129775827	129776926	+	1100	0
ENSMUSE00001398792	10	129855367	129858722	+	3356	0
ENSMUSE00000508408	10	129856520	129857452	+	933	0
ENSMUSE00001395385	10	130012621	130021286	+	8666	0
ENSMUSE00001395792	10	130012668	130021286	+	8619	0
ENSMUSE00000360021	10	130017301	130018361	+	1061	0
ENSMUSE00001367824	10	130030348	130035071	+	4724	0
ENSMUSE00000360582	10	130033628	130034560	+	933	0
ENSMUSE00001395826	10	130071210	130076909	+	5700	2
ENSMUSE00000896508	10	130074409	130075350	+	942	0
ENSMUSE00001272549	10	130120239	130121209	+	971	0
ENSMUSE00001366574	10	130140042	130149977	+	9936	2
ENSMUSE00001407433	10	130163679	130163961	+	283	0
ENSMUSE00001410405	10	130322870	130325180	+	2311	15
ENSMUSE00001411768	10	130322877	130364111	+	41235	763
ENSMUSE00000379567	10	130322878	130362637	+	39760	689
ENSMUSE00001407857	10	130322879	130348550	+	25672	132
ENSMUSE00001407476	10	130328744	130330475	+	1732	12
ENSMUSE00000479264	10	130412499	130413309	+	811	57
ENSMUSE00001410207	10	130542347	130571793	+	29447	27
ENSMUSE00000728833	11	3125904	3129396	+	3493	946
ENSMUSE00000708691	11	3125936	3131004	+	5069	1625
ENSMUSE00000720904	11	3128972	3130146	+	1175	554
ENSMUSE00000831222	11	3142048	3143363	+	1316	146
ENSMUSE00000417350	11	3202392	3244581	+	42190	754
ENSMUSE00000682515	11	3202663	3222331	+	19669	383
ENSMUSE00001217163	11	3202663	3244588	+	41926	754
ENSMUSE00001306460	11	3202689	3213434	+	10746	213
ENSMUSE00000812508	11	3227767	3230186	+	2420	55
ENSMUSE00000343983	11	3227813	3239459	+	11647	208
ENSMUSE00000785574	11	3234219	3240975	+	6757	102
ENSMUSE00001275159	11	3235545	3239441	+	3897	54
ENSMUSE00000797187	11	3288874	3290192	+	1319	27
ENSMUSE00000791550	11	3289167	3309083	+	19917	1343
ENSMUSE00001287299	11	3289202	3309083	+	19882	1343
ENSMUSE00000682496	11	3289993	3295429	+	5437	526
ENSMUSE00001311378	11	3289993	3309083	+	19091	1340
ENSMUSE00000808539	11	3308996	3320722	+	11727	905
ENSMUSE00000814250	11	3330401	3342971	+	12571	3007
ENSMUSE00000802126	11	3330728	3332103	+	1376	443
ENSMUSE00000314307	11	3330787	3341683	+	10897	2617
ENSMUSE00000725575	11	3330793	3333962	+	3170	1048
ENSMUSE00000790355	11	3332072	3333679	+	1608	611
ENSMUSE00000314300	11	3332109	3341674	+	9566	2252
ENSMUSE00001259108	11	3332451	3341692	+	9242	2163
ENSMUSE00000772148	11	3332972	3333960	+	989	430
ENSMUSE00000762006	11	3334381	3342005	+	7625	1592
ENSMUSE00000807326	11	3452365	3457099	+	4735	24
ENSMUSE00000783429	11	3452437	3456963	+	4527	24
ENSMUSE00000767674	11	3452472	3458338	+	5867	27
ENSMUSE00000939471	11	3452472	3479831	+	27360	51
ENSMUSE00000804776	11	3452480	3457016	+	4537	24
ENSMUSE00000812798	11	3488284	3494166	+	5883	3
ENSMUSE00000415933	11	3488299	3499350	+	11052	4
ENSMUSE00000809783	11	3488990	3494163	+	5174	1
ENSMUSE00000770839	11	3514684	3517348	+	2665	6
ENSMUSE00000660047	11	3514702	3517130	+	2429	6
ENSMUSE00000723062	11	3514867	3517351	+	2485	5
ENSMUSE00000845012	11	3530157	3536434	+	6278	0
ENSMUSE00000831435	11	3530948	3536856	+	5909	0
ENSMUSE00000793699	11	3534238	3534907	+	670	0
ENSMUSE00000719366	11	3628824	3629661	+	838	0
ENSMUSE00000682340	11	3649191	3690477	+	41287	905
ENSMUSE00000581524	11	3649494	3690370	+	40877	895
ENSMUSE00000733592	11	3679907	3683907	+	4001	114
ENSMUSE00000737440	11	3680267	3681151	+	885	41
ENSMUSE00001237483	11	3680362	3683689	+	3328	73
ENSMUSE00000846862	11	3788892	3788990	+	99	0
ENSMUSE00000715436	11	3872955	3873775	+	821	5
ENSMUSE00000682313	11	3895240	3901296	+	6057	4
ENSMUSE00000712785	11	3951714	3952716	+	1003	0
ENSMUSE00000656214	11	3963975	3980004	+	16030	971
ENSMUSE00000722330	11	3964009	3970835	+	6827	360
ENSMUSE00001277549	11	3964049	3976884	+	12836	772
ENSMUSE00000353045	11	3983636	3999326	+	15691	23
ENSMUSE00000516698	11	3983713	3999315	+	15603	23
ENSMUSE00000714180	11	4002457	4002805	+	349	0
ENSMUSE00000790406	11	4031462	4042469	+	11008	2
ENSMUSE00001296967	11	4031465	4046336	+	14872	3
ENSMUSE00001264234	11	4031783	4048024	+	16242	3
ENSMUSE00001313354	11	4031842	4046336	+	14495	3
ENSMUSE00001242945	11	4041737	4046336	+	4600	1
ENSMUSE00000458622	11	4064841	4077736	+	12896	0
ENSMUSE00000796011	11	4064891	4069448	+	4558	0
ENSMUSE00001299546	11	4064952	4076325	+	11374	0
ENSMUSE00001209469	11	4071409	4076761	+	5353	0
ENSMUSE00000708196	11	4107755	4108224	+	470	0
ENSMUSE00000741610	11	4135202	4141172	+	5971	216
ENSMUSE00001230643	11	4135214	4137368	+	2155	83
ENSMUSE00001308065	11	4135282	4137217	+	1936	83
ENSMUSE00000747069	11	4135502	4137155	+	1654	78
ENSMUSE00000945987	11	4139364	4139446	+	83	14
ENSMUSE00000824323	11	4160350	4182541	+	22192	643
ENSMUSE00000104470	11	4160355	4173110	+	12756	364
ENSMUSE00000808706	11	4177548	4179419	+	1872	71
ENSMUSE00001219230	11	4186789	4214885	+	28097	642
ENSMUSE00001284499	11	4186789	4215505	+	28717	660
ENSMUSE00001312449	11	4186822	4215502	+	28681	660
ENSMUSE00001207546	11	4205423	4209990	+	4568	106
ENSMUSE00000765709	11	4212311	4213600	+	1290	60
ENSMUSE00001246931	11	4212475	4213856	+	1382	68
ENSMUSE00000406290	11	4218225	4222409	+	4185	17
ENSMUSE00001252888	11	4236420	4239664	+	3245	25
ENSMUSE00001263565	11	4236420	4241026	+	4607	32
ENSMUSE00000656157	11	4257557	4272514	+	14958	9
ENSMUSE00000754026	11	4266796	4268249	+	1454	1
ENSMUSE00000656154	11	4267095	4272514	+	5420	9
ENSMUSE00000800804	11	4274089	4281931	+	7843	1
ENSMUSE00000805314	11	4285460	4286939	+	1480	0
ENSMUSE00001130669	11	4561780	4564637	+	2858	0
ENSMUSE00000714157	11	4563632	4564556	+	925	0
ENSMUSE00001035726	11	4620067	4621698	+	1632	0
ENSMUSE00000827460	11	4637747	4685699	+	47953	1766
ENSMUSE00000104283	11	4704678	4737669	+	32992	126
ENSMUSE00001030861	11	4704708	4737395	+	32688	124
ENSMUSE00001211214	11	4728585	4732523	+	3939	12
ENSMUSE00000802397	11	4873951	4894200	+	20250	255
ENSMUSE00001078255	11	4873999	4893617	+	19619	247
ENSMUSE00001244170	11	4874005	4889973	+	15969	218
ENSMUSE00001303033	11	4883194	4889131	+	5938	68
ENSMUSE00001283021	11	4883264	4884116	+	853	5
ENSMUSE00001316766	11	4891345	4891402	+	58	0
ENSMUSE00000682040	11	4895320	4928867	+	33548	429
ENSMUSE00000997620	11	4895343	4928865	+	33523	429
ENSMUSE00001281985	11	4902212	4914310	+	12099	198
ENSMUSE00001308096	11	4902212	4918225	+	16014	241
ENSMUSE00000807916	11	4915306	4920485	+	5180	84
ENSMUSE00000722150	11	4918510	4919003	+	494	20
ENSMUSE00000656028	11	4986824	5042791	+	55968	2447
ENSMUSE00001236080	11	4986912	5015741	+	28830	1207
ENSMUSE00001225199	11	4986934	5016851	+	29918	1320
ENSMUSE00000823791	11	5009474	5015741	+	6268	188
ENSMUSE00001210984	11	5009530	5042729	+	33200	1423
ENSMUSE00000724968	11	5030977	5032790	+	1814	88
ENSMUSE00000808585	11	5037369	5040402	+	3034	165
ENSMUSE00001349351	11	5038204	5038307	+	104	11
ENSMUSE00000847144	11	5038211	5038307	+	97	11
ENSMUSE00001231072	11	5038764	5040421	+	1658	102
ENSMUSE00000306566	11	5058128	5060385	+	2258	2
ENSMUSE00000743391	11	5058966	5060062	+	1097	0
ENSMUSE00000732676	11	5098926	5106091	+	7166	21
ENSMUSE00000518103	11	5099077	5106091	+	7015	21
ENSMUSE00000472965	11	5099608	5106091	+	6484	21
ENSMUSE00000594990	11	5100237	5106093	+	5857	20
ENSMUSE00000521856	11	5251850	5251956	+	107	0
ENSMUSE00000747788	11	5498840	5505699	+	6860	2
ENSMUSE00000813343	11	5520659	5525893	+	5235	602
ENSMUSE00000750126	11	5521005	5524026	+	3022	322
ENSMUSE00000105261	11	5521663	5524943	+	3281	419
ENSMUSE00001299943	11	5521923	5525105	+	3183	428
ENSMUSE00000984152	11	5569684	5689337	+	119654	19
ENSMUSE00000681851	11	5569697	5584283	+	14587	4
ENSMUSE00000829413	11	5574083	5584133	+	10051	2
ENSMUSE00000105223	11	5628738	5645153	+	16416	3
ENSMUSE00000716324	11	5634139	5634582	+	444	3
ENSMUSE00000745915	11	5762129	5781876	+	19748	155
ENSMUSE00000712459	11	5762150	5784710	+	22561	179
ENSMUSE00000806600	11	5762150	5782240	+	20091	158
ENSMUSE00000681775	11	5788488	5800629	+	12142	1053
ENSMUSE00000105210	11	5788522	5800962	+	12441	1074
ENSMUSE00000842638	11	5861947	5872088	+	10142	3
ENSMUSE00000105157	11	5867602	5872088	+	4487	2
ENSMUSE00000778889	11	5869148	5870141	+	994	1
ENSMUSE00000731001	11	5915315	5916731	+	1417	0
ENSMUSE00000403890	11	5955693	5967780	+	12088	789
ENSMUSE00000806893	11	5959304	5963201	+	3898	230
ENSMUSE00001193632	11	6200029	6201643	+	1615	2
ENSMUSE00000711138	11	6242378	6242721	+	344	0
ENSMUSE00000664489	11	6273311	6273424	+	114	0
ENSMUSE00000817415	11	6291633	6356642	+	65010	1763
ENSMUSE00000776920	11	6291641	6297677	+	6037	186
ENSMUSE00001059524	11	6291666	6356592	+	64927	1762
ENSMUSE00000581211	11	6389074	6406158	+	17085	2022
ENSMUSE00000581212	11	6389364	6406158	+	16795	2015
ENSMUSE00000581210	11	6395188	6406074	+	10887	982
ENSMUSE00000346971	11	6395605	6405930	+	10326	921
ENSMUSE00000729455	11	6396729	6397848	+	1120	199
ENSMUSE00001315263	11	6401630	6401693	+	64	6
ENSMUSE00000791179	11	6415443	6419817	+	4375	445
ENSMUSE00000525333	11	6415868	6418437	+	2570	343
ENSMUSE00000733028	11	6415870	6419815	+	3946	443
ENSMUSE00001216690	11	6415876	6419812	+	3937	443
ENSMUSE00001221753	11	6416312	6419804	+	3493	420
ENSMUSE00000705172	11	6446218	6446537	+	320	0
ENSMUSE00000972626	11	6453151	6453438	+	288	1
ENSMUSE00000744448	11	6475425	6490918	+	15494	512
ENSMUSE00000754570	11	6475465	6493535	+	18071	530
ENSMUSE00000769202	11	6475477	6493535	+	18059	530
ENSMUSE00000851075	11	6546887	6596744	+	49858	7760
ENSMUSE00000259346	11	6546910	6596742	+	49833	7760
ENSMUSE00000259355	11	6561112	6593133	+	32022	6868
ENSMUSE00000739081	11	6561121	6562952	+	1832	669
ENSMUSE00000871612	11	6593048	6594269	+	1222	108
ENSMUSE00000799324	11	6658521	6677475	+	18955	2887
ENSMUSE00000377048	11	6658565	6677472	+	18908	2887
ENSMUSE00000714645	11	6685824	6686809	+	986	9
ENSMUSE00000447979	11	7063489	7178506	+	115018	14
ENSMUSE00000783516	11	7159882	7172879	+	12998	1
ENSMUSE00000386843	11	7197782	7202546	+	4765	0
ENSMUSE00000256937	11	9048594	9069356	+	20763	2
ENSMUSE00000104282	11	9118103	9136164	+	18062	0
ENSMUSE00000104291	11	9118107	9136170	+	18064	0
ENSMUSE00000888316	11	9118627	9119673	+	1047	0
ENSMUSE00000104295	11	9125683	9134749	+	9067	0
ENSMUSE00000794081	11	9133015	9136082	+	3068	0
ENSMUSE00001283500	11	9191942	9224540	+	32599	4
ENSMUSE00001312909	11	9191942	9684259	+	492318	75
ENSMUSE00001231559	11	9193451	9256178	+	62728	7
ENSMUSE00000719118	11	10239337	10240251	+	915	0
ENSMUSE00000681198	11	11114223	11263526	+	149304	20
ENSMUSE00000873459	11	11114744	11268931	+	154188	21
ENSMUSE00000886492	11	11115851	11266638	+	150788	21
ENSMUSE00000817413	11	11116485	11131183	+	14699	3
ENSMUSE00000847371	11	11140514	11140643	+	130	0
ENSMUSE00000709397	11	11312433	11313262	+	830	7
ENSMUSE00000720742	11	11436984	11437775	+	792	3
ENSMUSE00000875031	11	11462094	11488537	+	26444	84
ENSMUSE00001374807	11	11464256	11515192	+	50937	85
ENSMUSE00001339828	11	11489266	11515190	+	25925	13
ENSMUSE00000771127	11	11557421	11579460	+	22040	114
ENSMUSE00000789519	11	11685003	11754083	+	69081	15888
ENSMUSE00000966587	11	11685003	11772926	+	87924	20633
ENSMUSE00000760641	11	11868123	11885321	+	17199	5
ENSMUSE00000752037	11	12314514	12337130	+	22617	2
ENSMUSE00000819096	11	12314533	12335830	+	21298	2
ENSMUSE00000933916	11	12322275	12351028	+	28754	1
ENSMUSE00000847544	11	12676933	12677073	+	141	0
ENSMUSE00000847019	11	12692813	12692942	+	130	0
ENSMUSE00000717886	11	12997666	12998383	+	718	1
ENSMUSE00000717425	11	14162079	14162457	+	379	4
ENSMUSE00000715056	11	14487613	14488015	+	403	1
ENSMUSE00000712851	11	14599276	14600314	+	1039	0
ENSMUSE00000717702	11	14722617	14723213	+	597	0
ENSMUSE00000711793	11	14780027	14780781	+	755	0
ENSMUSE00000722166	11	15049158	15050257	+	1100	39
ENSMUSE00000980375	11	15412300	15412406	+	107	0
ENSMUSE00000847869	11	15452422	15452551	+	130	0
ENSMUSE00000712476	11	15482306	15489473	+	7168	3
ENSMUSE00001345314	11	16037793	16038428	+	636	0
ENSMUSE00000713279	11	16236929	16237546	+	618	0
ENSMUSE00000681069	11	16257724	16284186	+	26463	1
ENSMUSE00000401785	11	16257803	16427310	+	169508	32
ENSMUSE00001378661	11	16260591	16282218	+	21628	1
ENSMUSE00001380300	11	16263218	16284551	+	21334	1
ENSMUSE00000708421	11	16439254	16440319	+	1066	0
ENSMUSE00000716232	11	16514533	16515981	+	1449	93
ENSMUSE00000303363	11	16752203	16887923	+	135721	18
ENSMUSE00000729687	11	16752211	16918158	+	165948	21
ENSMUSE00000662909	11	16752230	16793744	+	41515	6
ENSMUSE00000100888	11	16878150	16884357	+	6208	0
ENSMUSE00000776418	11	16905185	16910809	+	5625	3
ENSMUSE00000681025	11	16951375	16954447	+	3073	7
ENSMUSE00000442612	11	16951410	16954772	+	3363	7
ENSMUSE00000717647	11	17017852	17022080	+	4229	0
ENSMUSE00000726563	11	17051586	17055004	+	3419	11
ENSMUSE00000813101	11	17051803	17054242	+	2440	9
ENSMUSE00000392297	11	17051818	17079371	+	27554	27
ENSMUSE00000662893	11	17159263	17200375	+	41113	971
ENSMUSE00001308854	11	17182107	17232914	+	50808	537
ENSMUSE00000826556	11	17192844	17195109	+	2266	42
ENSMUSE00000442118	11	17211918	17233796	+	21879	128
ENSMUSE00000729546	11	17257579	17262910	+	5332	95
ENSMUSE00000796802	11	17257592	17264294	+	6703	115
ENSMUSE00000344691	11	17257594	17269176	+	11583	169
ENSMUSE00001229980	11	17257688	17266624	+	8937	157
ENSMUSE00000829886	11	17263621	17266560	+	2940	54
ENSMUSE00000846343	11	17548286	17548609	+	324	0
ENSMUSE00000732102	11	17953970	17959578	+	5609	14
ENSMUSE00000823907	11	17954004	17955098	+	1095	5
ENSMUSE00000752829	11	18095986	18103384	+	7399	0
ENSMUSE00001339935	11	18436242	18436836	+	595	1
ENSMUSE00000522609	11	18738695	18738796	+	102	0
ENSMUSE00000708958	11	19009128	19011183	+	2056	0
ENSMUSE00000778677	11	19009130	19010792	+	1663	0
ENSMUSE00000755141	11	19013817	19015154	+	1338	0
ENSMUSE00000773419	11	19065276	19075740	+	10465	0
ENSMUSE00000713345	11	19383685	19384708	+	1024	0
ENSMUSE00000708468	11	19720355	19721472	+	1118	18
ENSMUSE00000720800	11	19783652	19784483	+	832	0
ENSMUSE00000808561	11	19924375	20024026	+	99652	8122
ENSMUSE00000400122	11	19924442	20022577	+	98136	8090
ENSMUSE00000712122	11	20142568	20142790	+	223	0
ENSMUSE00000463496	11	20201432	20226856	+	25425	1734
ENSMUSE00001289877	11	20201435	20226856	+	25422	1734
ENSMUSE00001311536	11	20201439	20219487	+	18049	1258
ENSMUSE00001219792	11	20201609	20223572	+	21964	1443
ENSMUSE00000716827	11	20446412	20446810	+	399	5
ENSMUSE00000593852	11	20543253	20597020	+	53768	310
ENSMUSE00000788785	11	20543334	20653021	+	109688	746
ENSMUSE00000580920	11	20631979	20653021	+	21043	340
ENSMUSE00000680841	11	20647155	20649065	+	1911	54
ENSMUSE00000710511	11	20729420	20729949	+	530	0
ENSMUSE00000580916	11	21091291	21150323	+	59033	7666
ENSMUSE00001272811	11	21092118	21149402	+	57285	7467
ENSMUSE00000711055	11	21099534	21099827	+	294	50
ENSMUSE00001254078	11	21135469	21150323	+	14855	2753
ENSMUSE00000712103	11	21227655	21228256	+	602	0
ENSMUSE00000486749	11	21239281	21321136	+	81856	2072
ENSMUSE00000100994	11	21268785	21320324	+	51540	1150
ENSMUSE00000797106	11	21277903	21292231	+	14329	313
ENSMUSE00000710186	11	21295560	21295860	+	301	5
ENSMUSE00000832635	11	21300264	21307164	+	6901	205
ENSMUSE00000749531	11	21312505	21314993	+	2489	111
ENSMUSE00000776582	11	21314081	21320537	+	6457	242
ENSMUSE00000843313	11	21370400	21374161	+	3762	3
ENSMUSE00000709424	11	21491314	21491886	+	573	12
ENSMUSE00000727895	11	21572235	21898989	+	326755	143
ENSMUSE00000374957	11	21572305	21697568	+	125264	52
ENSMUSE00000737926	11	21689583	21711910	+	22328	8
ENSMUSE00000807525	11	21695129	21749350	+	54222	26
ENSMUSE00000739029	11	21813399	21817341	+	3943	0
ENSMUSE00000718540	11	21953140	21953703	+	564	0
ENSMUSE00000718789	11	22386292	22388196	+	1905	0
ENSMUSE00000793412	11	22483608	22491363	+	7756	0
ENSMUSE00000341980	11	22512088	22519234	+	7147	2
ENSMUSE00000765087	11	22617408	22618487	+	1080	0
ENSMUSE00000825461	11	22734038	22737937	+	3900	0
ENSMUSE00000937346	11	22839299	22842604	+	3306	1
ENSMUSE00000664586	11	22846868	22846969	+	102	0
ENSMUSE00000942186	11	22858931	22861264	+	2334	12
ENSMUSE00000523093	11	22868901	22869004	+	104	0
ENSMUSE00001440272	11	22972005	22976496	+	4492	311
ENSMUSE00000381106	11	22973215	22976496	+	3282	242
ENSMUSE00001442562	11	22973228	22974514	+	1287	169
ENSMUSE00000934150	11	22990519	23003780	+	13262	1000
ENSMUSE00000944973	11	22990626	22994389	+	3764	165
ENSMUSE00001310803	11	22990639	22999876	+	9238	603
ENSMUSE00001223079	11	22990650	23003151	+	12502	979
ENSMUSE00000941534	11	22990652	22997149	+	6498	322
ENSMUSE00001216470	11	22995624	22997101	+	1478	113
ENSMUSE00000819463	11	23000937	23001619	+	683	116
ENSMUSE00000944677	11	23001934	23002855	+	922	139
ENSMUSE00000655211	11	23007531	23020236	+	12706	9
ENSMUSE00000934294	11	23008347	23023724	+	15378	9
ENSMUSE00000902547	11	23008465	23023741	+	15277	8
ENSMUSE00000351680	11	23020000	23029842	+	9843	3
ENSMUSE00000938630	11	23020470	23030788	+	10319	3
ENSMUSE00000593707	11	23020556	23023730	+	3175	3
ENSMUSE00000723370	11	23067998	23075574	+	7577	1
ENSMUSE00000794721	11	23152140	23166375	+	14236	1
ENSMUSE00001306011	11	23256041	23297597	+	41557	1552
ENSMUSE00000809512	11	23256058	23282726	+	26669	973
ENSMUSE00000662858	11	23256078	23298249	+	42172	1574
ENSMUSE00000103142	11	23284644	23287451	+	2808	201
ENSMUSE00000744063	11	23306895	23490560	+	183666	5281
ENSMUSE00000725725	11	23306916	23489744	+	182829	5244
ENSMUSE00000782176	11	23414976	23420652	+	5677	118
ENSMUSE00000593618	11	23420055	23456686	+	36632	1082
ENSMUSE00001260656	11	23457938	23460897	+	2960	86
ENSMUSE00000775971	11	23458077	23460610	+	2534	77
ENSMUSE00000580801	11	23470289	23488368	+	18080	844
ENSMUSE00000807816	11	23486805	23487323	+	519	31
ENSMUSE00000779756	11	23497753	23498646	+	894	4
ENSMUSE00000843327	11	23497757	23499661	+	1905	11
ENSMUSE00000887810	11	23497783	23499192	+	1410	7
ENSMUSE00000807351	11	23498851	23499644	+	794	7
ENSMUSE00000270458	11	23665674	23732876	+	67203	536
ENSMUSE00000103029	11	23665697	23732876	+	67180	536
ENSMUSE00000737473	11	23666188	23673395	+	7208	65
ENSMUSE00000728986	11	23717482	23729071	+	11590	120
ENSMUSE00001277008	11	23718556	23731398	+	12843	118
ENSMUSE00000760557	11	23894560	23895488	+	929	0
ENSMUSE00001353957	11	24014655	24014759	+	105	0
ENSMUSE00000817716	11	24076559	24077367	+	809	0
ENSMUSE00001225040	11	24078056	24174123	+	96068	6
ENSMUSE00000680607	11	24078147	24090906	+	12760	2
ENSMUSE00000716130	11	24080670	24173558	+	92889	6
ENSMUSE00000815081	11	24142379	24163291	+	20913	3
ENSMUSE00000825323	11	24201418	24217601	+	16184	0
ENSMUSE00000758973	11	24426246	24722646	+	296401	42
ENSMUSE00000841354	11	24481909	24569952	+	88044	13
ENSMUSE00001319363	11	25232626	25367133	+	134508	7
ENSMUSE00000741502	11	25301263	25322786	+	21524	1
ENSMUSE00000808374	11	25326107	25367137	+	41031	0
ENSMUSE00000798933	11	25326136	25330718	+	4583	0
ENSMUSE00001318656	11	25329957	25358187	+	28231	0
ENSMUSE00000521985	11	25685140	25685269	+	130	0
ENSMUSE00001314123	11	26202240	26202348	+	109	0
ENSMUSE00000741857	11	26386135	26471876	+	85742	696
ENSMUSE00000285104	11	26387202	26471421	+	84220	690
ENSMUSE00001301624	11	26387202	26469124	+	81923	667
ENSMUSE00000718804	11	26409207	26410501	+	1295	24
ENSMUSE00000101067	11	26468335	26471430	+	3096	26
ENSMUSE00000655061	11	26593241	26593862	+	622	0
ENSMUSE00000717974	11	26712905	26713373	+	469	0
ENSMUSE00001022989	11	26786633	26787634	+	1002	5
ENSMUSE00001364130	11	26832804	26845457	+	12654	0
ENSMUSE00000713115	11	27051697	27051915	+	219	0
ENSMUSE00000722520	11	27085126	27085207	+	82	0
ENSMUSE00000715979	11	27498867	27499587	+	721	0
ENSMUSE00000691825	11	27883112	27883355	+	244	5
ENSMUSE00000714354	11	28046035	28049117	+	3083	0
ENSMUSE00000807651	11	28360362	28364339	+	3978	0
ENSMUSE00000763030	11	28681564	28693276	+	11713	1
ENSMUSE00000660676	11	28746191	28746276	+	86	0
ENSMUSE00000729839	11	28751633	28815767	+	64135	2
ENSMUSE00000522764	11	28757012	28757083	+	72	0
ENSMUSE00000522640	11	28763728	28763835	+	108	0
ENSMUSE00000787357	11	28853204	28926743	+	73540	8
ENSMUSE00000780465	11	28853244	28921526	+	68283	8
ENSMUSE00001207855	11	28915667	28926743	+	11077	0
ENSMUSE00000712949	11	28956724	28957608	+	885	4
ENSMUSE00000344620	11	29130744	29161680	+	30937	364
ENSMUSE00001219419	11	29130748	29135563	+	4816	64
ENSMUSE00001221910	11	29130748	29161828	+	31081	364
ENSMUSE00001293842	11	29138187	29145470	+	7284	108
ENSMUSE00000662824	11	29172890	29220797	+	47908	1719
ENSMUSE00000980616	11	29173747	29188350	+	14604	725
ENSMUSE00000792198	11	29197187	29201156	+	3970	114
ENSMUSE00001313365	11	29197198	29209486	+	12289	274
ENSMUSE00000837844	11	29205625	29218556	+	12932	346
ENSMUSE00000833267	11	29213624	29220797	+	7174	255
ENSMUSE00000707769	11	29334934	29335059	+	126	0
ENSMUSE00000717179	11	29354199	29354456	+	258	0
ENSMUSE00000750399	11	29373658	29510808	+	137151	16
ENSMUSE00001060651	11	29373777	29423411	+	49635	0
ENSMUSE00000814472	11	29456496	29461228	+	4733	0
ENSMUSE00000997897	11	29463888	29482639	+	18752	4
ENSMUSE00000281521	11	29470354	29504106	+	33753	7
ENSMUSE00000281309	11	29485979	29503518	+	17540	3
ENSMUSE00000740577	11	29493930	29497860	+	3931	0
ENSMUSE00000725816	11	29515086	29517355	+	2270	2
ENSMUSE00001015687	11	29526408	29545248	+	18841	185
ENSMUSE00000826390	11	29526447	29530228	+	3782	40
ENSMUSE00000509181	11	29526448	29545279	+	18832	185
ENSMUSE00000280843	11	29533290	29540272	+	6983	64
ENSMUSE00000841069	11	29539971	29542021	+	2051	33
ENSMUSE00000508623	11	29547950	29578367	+	30418	7
ENSMUSE00000443134	11	29548026	29578338	+	30313	7
ENSMUSE00000838872	11	29563833	29578346	+	14514	2
ENSMUSE00001300161	11	29563850	29578204	+	14355	2
ENSMUSE00000797366	11	29595787	29597700	+	1914	0
ENSMUSE00000680413	11	29692947	29744331	+	51385	1412
ENSMUSE00000279552	11	29692948	29742916	+	49969	1397
ENSMUSE00000375689	11	29693774	29742916	+	49143	1358
ENSMUSE00000769571	11	29733698	29742435	+	8738	205
ENSMUSE00001275645	11	29733773	29742347	+	8575	202
ENSMUSE00001307007	11	29736400	29742347	+	5948	129
ENSMUSE00000712278	11	29840375	29840846	+	472	0
ENSMUSE00000846645	11	29849461	29849600	+	140	0
ENSMUSE00000712823	11	29982414	29983229	+	816	0
ENSMUSE00001327111	11	30106394	30108120	+	1727	1
ENSMUSE00000864838	11	30267464	30280491	+	13028	0
ENSMUSE00000709457	11	30528295	30529401	+	1107	23
ENSMUSE00000796021	11	30750832	30756147	+	5316	0
ENSMUSE00000433171	11	30771726	30880361	+	108636	1980
