seqnames,start,end,width,strand,Conc,Conc_STAT5B_noIL2,Conc_STAT5B_IL2,Fold
19,11504990,11505423,434,*,2.94,1.78,3.58,-1.8
2,32493342,32493612,271,*,2.94,1.78,3.58,-1.8
3,51758176,51758491,316,*,2.94,1.78,3.58,-1.8
3,88510177,88510515,339,*,2.94,1.78,3.58,-1.8
6,97310867,97311203,337,*,2.94,1.78,3.58,-1.8
7,125472153,125472458,306,*,2.94,1.78,3.58,-1.8
8,126852056,126852344,289,*,2.94,1.78,3.58,-1.8
10,78226928,78227138,211,*,2.79,3.36,1.81,1.56
13,44469845,44470119,275,*,2.79,3.36,1.81,1.56
15,100457511,100457658,148,*,2.79,3.36,1.81,1.56
18,65427473,65427624,152,*,2.79,3.36,1.81,1.56
3,103991544,103991774,231,*,2.79,3.36,1.81,1.56
5,148820167,148820359,193,*,2.79,3.36,1.81,1.56
6,29270871,29271025,155,*,2.79,3.36,1.81,1.56
7,78837303,78837464,162,*,2.79,3.36,1.81,1.56
10,22201412,22201661,250,*,3.27,3.78,2.47,1.31
9,64564330,64564546,217,*,3.27,3.78,2.47,1.31
10,88054388,88054666,279,*,2.92,1.78,3.54,-1.76
11,4223407,4223779,373,*,2.92,1.78,3.54,-1.76
11,46326884,46327225,342,*,2.92,1.78,3.54,-1.76
15,62229574,62229868,295,*,2.92,1.78,3.54,-1.76
15,63657983,63658272,290,*,2.92,1.78,3.54,-1.76
3,136531603,136532086,484,*,2.92,1.78,3.54,-1.76
5,3952507,3952994,488,*,2.92,1.78,3.54,-1.76
5,52111591,52111942,352,*,2.92,1.78,3.54,-1.76
5,105495324,105495616,293,*,2.92,1.78,3.54,-1.76
6,120082281,120082514,234,*,2.92,1.78,3.54,-1.76
7,125554515,125554824,310,*,2.92,1.78,3.54,-1.76
8,81782740,81783018,279,*,2.92,1.78,3.54,-1.76
9,45251940,45252289,350,*,2.92,1.78,3.54,-1.76
9,114488468,114488756,289,*,2.92,1.78,3.54,-1.76
8,95247222,95247632,411,*,3.59,2.78,4.1,-1.32
6,68242455,68242805,351,*,5.02,4.59,5.35,-0.76
19,36137374,36137521,148,*,2.11,2.78,0.81,1.97
2,11266606,11266765,160,*,2.11,2.78,0.81,1.97
3,52579236,52579383,148,*,2.11,2.78,0.81,1.97
6,67699166,67699313,148,*,2.11,2.78,0.81,1.97
16,23988393,23989159,767,*,6.08,6.3,5.81,0.49
6,83312474,83312815,342,*,3.65,4.1,2.98,1.13
2,167909939,167910342,404,*,4.34,3.78,4.74,-0.96
13,24604698,24605040,343,*,3.57,2.78,4.08,-1.3
1,37478543,37478836,294,*,2.89,1.78,3.51,-1.73
1,58797443,58797788,346,*,2.89,1.78,3.51,-1.73
1,164135332,164135682,351,*,2.89,1.78,3.51,-1.73
1,182543234,182543547,314,*,2.89,1.78,3.51,-1.73
11,97660060,97660327,268,*,2.89,1.78,3.51,-1.73
11,106536219,106536461,243,*,2.89,1.78,3.51,-1.73
12,80065071,80065433,363,*,2.89,1.78,3.51,-1.73
16,22526275,22526619,345,*,2.89,1.78,3.51,-1.73
16,23274602,23274955,354,*,2.89,1.78,3.51,-1.73
16,78502598,78502832,235,*,2.89,1.78,3.51,-1.73
19,11355848,11356092,245,*,2.89,1.78,3.51,-1.73
3,97005978,97006380,403,*,2.89,1.78,3.51,-1.73
6,108660187,108660421,235,*,2.89,1.78,3.51,-1.73
6,120077051,120077400,350,*,2.89,1.78,3.51,-1.73
7,99311459,99311716,258,*,2.89,1.78,3.51,-1.73
8,57624110,57624430,321,*,2.89,1.78,3.51,-1.73
8,120699428,120699796,369,*,2.89,1.78,3.51,-1.73
8,126848295,126848613,319,*,2.89,1.78,3.51,-1.73
9,15015338,15015793,456,*,2.89,1.78,3.51,-1.73
9,44010985,44011282,298,*,2.89,1.78,3.51,-1.73
9,45083068,45083439,372,*,2.89,1.78,3.51,-1.73
X,142490167,142490516,350,*,2.89,1.78,3.51,-1.73
1,128548723,128548944,222,*,3.29,3.78,2.54,1.24
13,38049910,38050263,354,*,3.55,2.78,4.05,-1.27
17,5406640,5406990,351,*,3.55,2.78,4.05,-1.27
9,118361034,118361306,273,*,3.55,2.78,4.05,-1.27
1,88661155,88661480,326,*,2.86,1.78,3.47,-1.69
10,93177927,93178297,371,*,2.86,1.78,3.47,-1.69
11,19956694,19956940,247,*,2.86,1.78,3.47,-1.69
15,4816872,4817229,358,*,2.86,1.78,3.47,-1.69
15,62271424,62271693,270,*,2.86,1.78,3.47,-1.69
16,49534781,49535025,245,*,2.86,1.78,3.47,-1.69
18,39858929,39859260,332,*,2.86,1.78,3.47,-1.69
2,9616243,9616538,296,*,2.86,1.78,3.47,-1.69
3,51701059,51701450,392,*,2.86,1.78,3.47,-1.69
3,60820138,60820537,400,*,2.86,1.78,3.47,-1.69
3,142496567,142496932,366,*,2.86,1.78,3.47,-1.69
6,120124614,120124900,287,*,2.86,1.78,3.47,-1.69
6,137558953,137559265,313,*,2.86,1.78,3.47,-1.69
7,25683723,25684002,280,*,2.86,1.78,3.47,-1.69
7,125191850,125192199,350,*,2.86,1.78,3.47,-1.69
9,107334352,107334735,384,*,4.59,4.1,4.95,-0.85
1,160044764,160044972,209,*,2.82,3.36,1.92,1.44
10,7483714,7483940,227,*,2.82,3.36,1.92,1.44
17,4991880,4992076,197,*,2.82,3.36,1.92,1.44
19,16204860,16205053,194,*,2.82,3.36,1.92,1.44
6,83028010,83028209,200,*,2.82,3.36,1.92,1.44
8,13213522,13213766,245,*,2.82,3.36,1.92,1.44
14,105288174,105288740,567,*,3.53,2.78,4.03,-1.25
3,135604774,135605079,306,*,3.53,2.78,4.03,-1.25
8,128563065,128563514,450,*,3.98,3.36,4.41,-1.05
9,107307839,107308087,249,*,3.98,3.36,4.41,-1.05
17,52076824,52077191,368,*,4.8,4.36,5.13,-0.76
1,61046193,61046720,528,*,2.83,1.78,3.43,-1.65
10,39486562,39486788,227,*,2.83,1.78,3.43,-1.65
11,116433626,116433867,242,*,2.83,1.78,3.43,-1.65
11,121977343,121977596,254,*,2.83,1.78,3.43,-1.65
12,85663067,85663387,321,*,2.83,1.78,3.43,-1.65
13,52168036,52168345,310,*,2.83,1.78,3.43,-1.65
15,64023867,64024260,394,*,2.83,1.78,3.43,-1.65
15,81875641,81875921,281,*,2.83,1.78,3.43,-1.65
16,27355319,27355655,337,*,2.83,1.78,3.43,-1.65
17,32067517,32068028,512,*,2.83,1.78,3.43,-1.65
19,34217229,34217577,349,*,2.83,1.78,3.43,-1.65
2,52310735,52311010,276,*,2.83,1.78,3.43,-1.65
2,117374414,117374675,262,*,2.83,1.78,3.43,-1.65
2,131892611,131892896,286,*,2.83,1.78,3.43,-1.65
3,37313453,37313783,331,*,2.83,1.78,3.43,-1.65
5,92353536,92353800,265,*,2.83,1.78,3.43,-1.65
5,125391463,125391773,311,*,2.83,1.78,3.43,-1.65
5,144221531,144221982,452,*,2.83,1.78,3.43,-1.65
6,120112568,120112816,249,*,2.83,1.78,3.43,-1.65
7,25644148,25644436,289,*,2.83,1.78,3.43,-1.65
8,72272552,72272958,407,*,2.83,1.78,3.43,-1.65
9,32487740,32488044,305,*,2.83,1.78,3.43,-1.65
9,118424174,118424465,292,*,2.83,1.78,3.43,-1.65
16,10843914,10844468,555,*,4.57,4.1,4.92,-0.82
1,58651829,58652291,463,*,3.52,2.78,4,-1.22
14,53560249,53560773,525,*,3.52,2.78,4,-1.22
11,97126957,97127221,265,*,3.31,3.78,2.61,1.17
15,25267127,25267347,221,*,3.31,3.78,2.61,1.17
10,127937550,127937697,148,*,2.15,2.78,1.03,1.75
11,54226772,54226919,148,*,2.15,2.78,1.03,1.75
12,36241319,36241496,178,*,2.15,2.78,1.03,1.75
12,107993232,107993379,148,*,2.15,2.78,1.03,1.75
13,36808149,36808296,148,*,2.15,2.78,1.03,1.75
13,96924060,96924207,148,*,2.15,2.78,1.03,1.75
13,97408597,97408744,148,*,2.15,2.78,1.03,1.75
13,99317101,99317248,148,*,2.15,2.78,1.03,1.75
18,11791897,11792062,166,*,2.15,2.78,1.03,1.75
2,48949396,48949543,148,*,2.15,2.78,1.03,1.75
5,74105193,74105340,148,*,2.15,2.78,1.03,1.75
6,31169525,31169672,148,*,2.15,2.78,1.03,1.75
9,13443613,13443776,164,*,2.15,2.78,1.03,1.75
10,5448277,5448593,317,*,2.8,1.78,3.39,-1.61
10,19566003,19566451,449,*,2.8,1.78,3.39,-1.61
11,46360231,46360499,269,*,2.8,1.78,3.39,-1.61
11,105092958,105093431,474,*,2.8,1.78,3.39,-1.61
12,92672427,92672715,289,*,2.8,1.78,3.39,-1.61
13,94794692,94795007,316,*,2.8,1.78,3.39,-1.61
15,39913287,39913596,310,*,2.8,1.78,3.39,-1.61
16,31940646,31940974,329,*,2.8,1.78,3.39,-1.61
17,47598193,47598605,413,*,2.8,1.78,3.39,-1.61
17,53478513,53478946,434,*,2.8,1.78,3.39,-1.61
18,58659077,58659386,310,*,2.8,1.78,3.39,-1.61
18,70632015,70632465,451,*,2.8,1.78,3.39,-1.61
3,38282899,38283170,272,*,2.8,1.78,3.39,-1.61
3,135602846,135603072,227,*,2.8,1.78,3.39,-1.61
5,53490715,53491074,360,*,2.8,1.78,3.39,-1.61
5,118271770,118271994,225,*,2.8,1.78,3.39,-1.61
6,100153083,100153333,251,*,2.8,1.78,3.39,-1.61
6,68251028,68251375,348,*,4.97,4.59,5.28,-0.69
7,119906659,119906977,319,*,3.95,3.36,4.37,-1.01
16,52292568,52292831,264,*,2.85,3.36,2.03,1.34
19,41848481,41848785,305,*,2.85,3.36,2.03,1.34
2,35461108,35461296,189,*,2.85,3.36,2.03,1.34
2,72083121,72083330,210,*,2.85,3.36,2.03,1.34
4,155516950,155517150,201,*,2.85,3.36,2.03,1.34
5,38559848,38560000,153,*,2.85,3.36,2.03,1.34
6,31088246,31088456,211,*,2.85,3.36,2.03,1.34
7,4663743,4664033,291,*,3.98,4.36,3.47,0.9
6,40890826,40891241,416,*,4.77,4.36,5.09,-0.73
2,79698217,79698476,260,*,3.7,4.1,3.13,0.97
1,40516160,40516536,377,*,2.77,1.78,3.35,-1.57
10,78298761,78299009,249,*,2.77,1.78,3.35,-1.57
11,77630492,77630734,243,*,2.77,1.78,3.35,-1.57
12,55187796,55188154,359,*,2.77,1.78,3.35,-1.57
12,86686820,86687214,395,*,2.77,1.78,3.35,-1.57
12,98270144,98270576,433,*,2.77,1.78,3.35,-1.57
13,96956376,96956745,370,*,2.77,1.78,3.35,-1.57
14,76399304,76399667,364,*,2.77,1.78,3.35,-1.57
15,44457545,44457899,355,*,2.77,1.78,3.35,-1.57
16,84703018,84703367,350,*,2.77,1.78,3.35,-1.57
18,84685790,84686030,241,*,2.77,1.78,3.35,-1.57
2,13557302,13557481,180,*,2.77,1.78,3.35,-1.57
2,153292401,153292791,391,*,2.77,1.78,3.35,-1.57
2,173349948,173350181,234,*,2.77,1.78,3.35,-1.57
3,88454063,88454362,300,*,2.77,1.78,3.35,-1.57
3,108718284,108718614,331,*,2.77,1.78,3.35,-1.57
4,97995885,97996359,475,*,2.77,1.78,3.35,-1.57
4,128981134,128981425,292,*,2.77,1.78,3.35,-1.57
5,140609602,140609883,282,*,2.77,1.78,3.35,-1.57
6,120122946,120123282,337,*,2.77,1.78,3.35,-1.57
6,143393947,143394268,322,*,2.77,1.78,3.35,-1.57
7,35716062,35716299,238,*,2.77,1.78,3.35,-1.57
7,73588999,73589291,293,*,2.77,1.78,3.35,-1.57
9,32533960,32534260,301,*,2.77,1.78,3.35,-1.57
CHR_MMCHR1_CHORI29_IDD5_1,60892717,60893009,293,*,2.77,1.78,3.35,-1.57
CHR_MMCHR1_CHORI29_IDD5_1,61080167,61080577,411,*,2.77,1.78,3.35,-1.57
3,51421663,51422042,380,*,3.33,3.78,2.68,1.1
11,5505763,5506204,442,*,3.48,2.78,3.95,-1.17
8,94413517,94413823,307,*,3.48,2.78,3.95,-1.17
14,109676133,109676378,246,*,1.01,1.78,-0.78,2.56
14,123451530,123451776,247,*,1.01,1.78,-0.78,2.56
15,50361995,50362142,148,*,1.01,1.78,-0.78,2.56
15,87967931,87968187,257,*,1.01,1.78,-0.78,2.56
16,97402479,97402626,148,*,1.01,1.78,-0.78,2.56
17,12783430,12783577,148,*,1.01,1.78,-0.78,2.56
4,88641019,88641276,258,*,1.01,1.78,-0.78,2.56
11,99170838,99171328,491,*,3.46,2.78,3.92,-1.14
1,36293557,36293744,188,*,2.74,1.78,3.31,-1.53
1,69461223,69461515,293,*,2.74,1.78,3.31,-1.53
1,144273039,144273388,350,*,2.74,1.78,3.31,-1.53
1,171782509,171782776,268,*,2.74,1.78,3.31,-1.53
11,58199289,58199622,334,*,2.74,1.78,3.31,-1.53
12,31659218,31659598,381,*,2.74,1.78,3.31,-1.53
12,55112747,55113050,304,*,2.74,1.78,3.31,-1.53
12,105019167,105019525,359,*,2.74,1.78,3.31,-1.53
13,9427977,9428323,347,*,2.74,1.78,3.31,-1.53
13,103919386,103919767,382,*,2.74,1.78,3.31,-1.53
16,58712425,58712761,337,*,2.74,1.78,3.31,-1.53
17,45626667,45626977,311,*,2.74,1.78,3.31,-1.53
2,8865496,8865836,341,*,2.74,1.78,3.31,-1.53
2,44166009,44166382,374,*,2.74,1.78,3.31,-1.53
3,19458545,19458988,444,*,2.74,1.78,3.31,-1.53
3,87529571,87529817,247,*,2.74,1.78,3.31,-1.53
5,28242463,28242789,327,*,2.74,1.78,3.31,-1.53
5,151376988,151377230,243,*,2.74,1.78,3.31,-1.53
6,31489938,31490349,412,*,2.74,1.78,3.31,-1.53
6,122527618,122527878,261,*,2.74,1.78,3.31,-1.53
7,97210072,97210379,308,*,2.74,1.78,3.31,-1.53
7,109936731,109937106,376,*,2.74,1.78,3.31,-1.53
11,108170178,108170418,241,*,2.87,3.36,2.13,1.24
4,154908568,154908732,165,*,2.87,3.36,2.13,1.24
6,140620863,140621117,255,*,2.87,3.36,2.13,1.24
8,35591854,35592091,238,*,2.87,3.36,2.13,1.24
CHR_MMCHR1_CHORI29_IDD5_1,60846430,60846678,249,*,2.87,3.36,2.13,1.24
5,33122002,33122369,368,*,3.91,3.36,4.31,-0.94
9,110457944,110458315,372,*,3.91,3.36,4.31,-0.94
1,39842317,39842464,148,*,2.2,2.78,1.22,1.56
1,144264262,144264427,166,*,2.2,2.78,1.22,1.56
1,153312224,153312411,188,*,2.2,2.78,1.22,1.56
10,86633256,86633489,234,*,2.2,2.78,1.22,1.56
11,44725808,44725965,158,*,2.2,2.78,1.22,1.56
11,87462282,87462507,226,*,2.2,2.78,1.22,1.56
12,82295362,82295509,148,*,2.2,2.78,1.22,1.56
13,8458013,8458215,203,*,2.2,2.78,1.22,1.56
16,64757947,64758099,153,*,2.2,2.78,1.22,1.56
17,28500258,28500405,148,*,2.2,2.78,1.22,1.56
17,83457287,83457456,170,*,2.2,2.78,1.22,1.56
19,8798721,8798899,179,*,2.2,2.78,1.22,1.56
3,19310423,19310570,148,*,2.2,2.78,1.22,1.56
6,85965740,85965909,170,*,2.2,2.78,1.22,1.56
6,122810572,122810719,148,*,2.2,2.78,1.22,1.56
6,129284608,129284780,173,*,2.2,2.78,1.22,1.56
X,144052863,144053010,148,*,2.2,2.78,1.22,1.56
13,51936423,51936664,242,*,3.35,3.78,2.74,1.04
12,32201905,32202211,307,*,4.01,4.36,3.54,0.82
6,144942923,144943306,384,*,3.44,2.78,3.89,-1.11
1,9833287,9833737,451,*,2.71,1.78,3.26,-1.49
1,86006422,86006806,385,*,2.71,1.78,3.26,-1.49
1,87877862,87878168,307,*,2.71,1.78,3.26,-1.49
1,88587425,88587695,271,*,2.71,1.78,3.26,-1.49
1,131010405,131010714,310,*,2.71,1.78,3.26,-1.49
1,171674448,171674725,278,*,2.71,1.78,3.26,-1.49
11,5343120,5343407,288,*,2.71,1.78,3.26,-1.49
11,98948009,98948257,249,*,2.71,1.78,3.26,-1.49
12,40018256,40018451,196,*,2.71,1.78,3.26,-1.49
12,75292948,75293255,308,*,2.71,1.78,3.26,-1.49
12,114659811,114660122,312,*,2.71,1.78,3.26,-1.49
13,30747813,30748215,403,*,2.71,1.78,3.26,-1.49
13,91224303,91224791,489,*,2.71,1.78,3.26,-1.49
2,59339673,59340051,379,*,2.71,1.78,3.26,-1.49
2,73485890,73486382,493,*,2.71,1.78,3.26,-1.49
2,140051695,140052008,314,*,2.71,1.78,3.26,-1.49
5,53588459,53588860,402,*,2.71,1.78,3.26,-1.49
5,64883611,64883894,284,*,2.71,1.78,3.26,-1.49
5,115636410,115636731,322,*,2.71,1.78,3.26,-1.49
8,35482164,35482549,386,*,2.71,1.78,3.26,-1.49
8,120715375,120715628,254,*,2.71,1.78,3.26,-1.49
X,101128385,101128754,370,*,2.71,1.78,3.26,-1.49
10,93451916,93452442,527,*,3.42,2.78,3.86,-1.08
12,107160464,107160868,405,*,3.42,2.78,3.86,-1.08
17,50729724,50730100,377,*,3.42,2.78,3.86,-1.08
1,13465017,13465339,323,*,2.67,1.78,3.22,-1.44
1,127296729,127297075,347,*,2.67,1.78,3.22,-1.44
10,20991760,20992157,398,*,2.67,1.78,3.22,-1.44
11,108311845,108312132,288,*,2.67,1.78,3.22,-1.44
12,31415934,31416281,348,*,2.67,1.78,3.22,-1.44
12,35562911,35563185,275,*,2.67,1.78,3.22,-1.44
12,118376648,118376903,256,*,2.67,1.78,3.22,-1.44
13,21366615,21366950,336,*,2.67,1.78,3.22,-1.44
16,24704343,24704586,244,*,2.67,1.78,3.22,-1.44
18,3281048,3281321,274,*,2.67,1.78,3.22,-1.44
19,38395090,38395439,350,*,2.67,1.78,3.22,-1.44
2,11651514,11651749,236,*,2.67,1.78,3.22,-1.44
3,38089500,38089783,284,*,2.67,1.78,3.22,-1.44
3,89228243,89228682,440,*,2.67,1.78,3.22,-1.44
4,102514919,102515188,270,*,2.67,1.78,3.22,-1.44
5,64239390,64239731,342,*,2.67,1.78,3.22,-1.44
5,72868795,72869077,283,*,2.67,1.78,3.22,-1.44
6,131289733,131290053,321,*,2.67,1.78,3.22,-1.44
8,34756201,34756467,267,*,2.67,1.78,3.22,-1.44
8,81636265,81636544,280,*,2.67,1.78,3.22,-1.44
9,88337631,88337978,348,*,2.67,1.78,3.22,-1.44
12,92883266,92883772,507,*,5.09,4.78,5.35,-0.57
4,86575409,86575633,225,*,2.9,3.36,2.22,1.14
8,121848554,121848779,226,*,2.9,3.36,2.22,1.14
11,99105077,99105412,336,*,3.4,2.78,3.84,-1.06
6,82769720,82770189,470,*,3.4,2.78,3.84,-1.06
1,36892634,36892903,270,*,2.64,1.78,3.17,-1.4
1,127638030,127638293,264,*,2.64,1.78,3.17,-1.4
1,161774765,161774973,209,*,2.64,1.78,3.17,-1.4
10,25701828,25702095,268,*,2.64,1.78,3.17,-1.4
10,94021661,94021939,279,*,2.64,1.78,3.17,-1.4
10,99428460,99428801,342,*,2.64,1.78,3.17,-1.4
11,4826670,4826963,294,*,2.64,1.78,3.17,-1.4
11,94071076,94071389,314,*,2.64,1.78,3.17,-1.4
11,100730074,100730409,336,*,2.64,1.78,3.17,-1.4
12,17450500,17450813,314,*,2.64,1.78,3.17,-1.4
12,41031105,41031405,301,*,2.64,1.78,3.17,-1.4
13,13572268,13572542,275,*,2.64,1.78,3.17,-1.4
13,34002563,34002879,317,*,2.64,1.78,3.17,-1.4
13,113630317,113630605,289,*,2.64,1.78,3.17,-1.4
14,121478390,121478646,257,*,2.64,1.78,3.17,-1.4
15,79933882,79934100,219,*,2.64,1.78,3.17,-1.4
16,43655214,43655515,302,*,2.64,1.78,3.17,-1.4
18,4303204,4303486,283,*,2.64,1.78,3.17,-1.4
18,24619437,24619713,277,*,2.64,1.78,3.17,-1.4
18,38440598,38440947,350,*,2.64,1.78,3.17,-1.4
19,36477147,36477391,245,*,2.64,1.78,3.17,-1.4
3,52555118,52555345,228,*,2.64,1.78,3.17,-1.4
3,105910565,105910833,269,*,2.64,1.78,3.17,-1.4
5,107677293,107677573,281,*,2.64,1.78,3.17,-1.4
5,137857002,137857384,383,*,2.64,1.78,3.17,-1.4
6,28440365,28440721,357,*,2.64,1.78,3.17,-1.4
6,38801856,38802138,283,*,2.64,1.78,3.17,-1.4
6,88714477,88714742,266,*,2.64,1.78,3.17,-1.4
7,30348047,30348286,240,*,2.64,1.78,3.17,-1.4
7,138903949,138904279,331,*,2.64,1.78,3.17,-1.4
8,34740158,34740568,411,*,2.64,1.78,3.17,-1.4
8,126875582,126875987,406,*,2.64,1.78,3.17,-1.4
1,180314176,180314324,149,*,2.25,2.78,1.39,1.39
10,93829938,93830094,157,*,2.25,2.78,1.39,1.39
11,54917392,54917614,223,*,2.25,2.78,1.39,1.39
12,17239448,17239597,150,*,2.25,2.78,1.39,1.39
15,59524598,59524772,175,*,2.25,2.78,1.39,1.39
15,86064998,86065192,195,*,2.25,2.78,1.39,1.39
15,102178381,102178528,148,*,2.25,2.78,1.39,1.39
16,55564827,55564999,173,*,2.25,2.78,1.39,1.39
16,72804285,72804436,152,*,2.25,2.78,1.39,1.39
18,46997880,46998027,148,*,2.25,2.78,1.39,1.39
3,131169234,131169402,169,*,2.25,2.78,1.39,1.39
3,149326847,149326994,148,*,2.25,2.78,1.39,1.39
4,44674991,44675138,148,*,2.25,2.78,1.39,1.39
4,122808276,122808434,159,*,2.25,2.78,1.39,1.39
7,19680002,19680149,148,*,2.25,2.78,1.39,1.39
8,78490323,78490475,153,*,2.25,2.78,1.39,1.39
GL456383.1,35283,35467,185,*,2.25,2.78,1.39,1.39
X,86001398,86001584,187,*,2.25,2.78,1.39,1.39
18,54921918,54922452,535,*,4.71,4.36,4.99,-0.62
14,20172860,20173219,360,*,3.86,3.36,4.22,-0.86
13,56151352,56151757,406,*,4.2,3.78,4.52,-0.74
6,99028651,99028956,306,*,3.39,3.78,2.86,0.92
1,60833697,60833950,254,*,2.93,3.36,2.31,1.06
11,97661423,97661580,158,*,2.93,3.36,2.31,1.06
2,158706918,158707125,208,*,2.93,3.36,2.31,1.06
5,23700795,23701058,264,*,2.93,3.36,2.31,1.06
5,23708894,23709101,208,*,2.93,3.36,2.31,1.06
1,60158592,60159042,451,*,2.61,1.78,3.13,-1.35
1,127225738,127226023,286,*,2.61,1.78,3.13,-1.35
10,75824297,75824740,444,*,2.61,1.78,3.13,-1.35
10,119199842,119200163,322,*,2.61,1.78,3.13,-1.35
11,68451385,68451626,242,*,2.61,1.78,3.13,-1.35
11,101448317,101448613,297,*,2.61,1.78,3.13,-1.35
12,80115227,80115493,267,*,2.61,1.78,3.13,-1.35
12,84762440,84762684,245,*,2.61,1.78,3.13,-1.35
12,114766877,114767202,326,*,2.61,1.78,3.13,-1.35
13,45871990,45872467,478,*,2.61,1.78,3.13,-1.35
13,51471233,51471419,187,*,2.61,1.78,3.13,-1.35
13,52807820,52808164,345,*,2.61,1.78,3.13,-1.35
15,44441014,44441308,295,*,2.61,1.78,3.13,-1.35
15,61441873,61442141,269,*,2.61,1.78,3.13,-1.35
15,62734946,62735230,285,*,2.61,1.78,3.13,-1.35
15,73006498,73006734,237,*,2.61,1.78,3.13,-1.35
16,38395334,38395623,290,*,2.61,1.78,3.13,-1.35
16,95282863,95283162,300,*,2.61,1.78,3.13,-1.35
16,97948809,97949177,369,*,2.61,1.78,3.13,-1.35
17,27322963,27323242,280,*,2.61,1.78,3.13,-1.35
17,48300879,48301138,260,*,2.61,1.78,3.13,-1.35
19,11485697,11485971,275,*,2.61,1.78,3.13,-1.35
2,61497059,61497353,295,*,2.61,1.78,3.13,-1.35
2,117405508,117405780,273,*,2.61,1.78,3.13,-1.35
3,51227561,51227810,250,*,2.61,1.78,3.13,-1.35
3,96551369,96551665,297,*,2.61,1.78,3.13,-1.35
3,135720983,135721300,318,*,2.61,1.78,3.13,-1.35
6,29853480,29853912,433,*,2.61,1.78,3.13,-1.35
6,128844039,128844282,244,*,2.61,1.78,3.13,-1.35
9,4309670,4310162,493,*,2.61,1.78,3.13,-1.35
19,53899912,53900319,408,*,3.84,3.36,4.2,-0.83
4,87984350,87984725,376,*,3.84,3.36,4.2,-0.83
7,75787280,75787619,340,*,3.36,2.78,3.78,-1
2,158175118,158175666,549,*,4.19,3.78,4.51,-0.73
9,107296486,107296872,387,*,4.89,4.59,5.14,-0.55
13,73603714,73603861,148,*,1.11,1.78,-0.19,1.97
13,93941114,93941358,245,*,1.11,1.78,-0.19,1.97
16,3351348,3351513,166,*,1.11,1.78,-0.19,1.97
16,51690940,51691087,148,*,1.11,1.78,-0.19,1.97
19,32274201,32274360,160,*,1.11,1.78,-0.19,1.97
2,76255032,76255179,148,*,1.11,1.78,-0.19,1.97
9,92289791,92289938,148,*,1.11,1.78,-0.19,1.97
17,26588961,26589434,474,*,4.18,3.78,4.49,-0.71
5,105515515,105515876,362,*,4.18,3.78,4.49,-0.71
11,117969056,117969384,329,*,3.41,3.78,2.92,0.86
3,35764795,35765075,281,*,3.41,3.78,2.92,0.86
4,15300076,15300331,256,*,3.41,3.78,2.92,0.86
12,54210725,54211076,352,*,3.34,2.78,3.74,-0.96
14,32086091,32086526,436,*,3.34,2.78,3.74,-0.96
2,59171567,59171860,294,*,3.34,2.78,3.74,-0.96
1,164078664,164078839,176,*,2.57,1.78,3.08,-1.3
10,28518260,28518491,232,*,2.57,1.78,3.08,-1.3
10,78063285,78063569,285,*,2.57,1.78,3.08,-1.3
10,99447553,99447798,246,*,2.57,1.78,3.08,-1.3
10,118480876,118481125,250,*,2.57,1.78,3.08,-1.3
11,4497531,4497755,225,*,2.57,1.78,3.08,-1.3
11,6184157,6184530,374,*,2.57,1.78,3.08,-1.3
11,118222823,118223060,238,*,2.57,1.78,3.08,-1.3
12,82189832,82190103,272,*,2.57,1.78,3.08,-1.3
12,91183456,91183737,282,*,2.57,1.78,3.08,-1.3
13,89428512,89428931,420,*,2.57,1.78,3.08,-1.3
16,10702311,10702622,312,*,2.57,1.78,3.08,-1.3
16,89986045,89986369,325,*,2.57,1.78,3.08,-1.3
17,71289207,71289438,232,*,2.57,1.78,3.08,-1.3
18,33084769,33085035,267,*,2.57,1.78,3.08,-1.3
18,65395391,65395705,315,*,2.57,1.78,3.08,-1.3
18,79459577,79459973,397,*,2.57,1.78,3.08,-1.3
2,68412663,68413033,371,*,2.57,1.78,3.08,-1.3
2,180247972,180248195,224,*,2.57,1.78,3.08,-1.3
2,180249038,180249281,244,*,2.57,1.78,3.08,-1.3
5,75316022,75316334,313,*,2.57,1.78,3.08,-1.3
6,127390767,127391213,447,*,2.57,1.78,3.08,-1.3
8,94919285,94919498,214,*,2.57,1.78,3.08,-1.3
9,63738430,63738657,228,*,2.57,1.78,3.08,-1.3
9,94411466,94411738,273,*,2.57,1.78,3.08,-1.3
9,115611905,115612172,268,*,2.57,1.78,3.08,-1.3
1,93289708,93289868,161,*,2.29,2.78,1.54,1.24
1,181860883,181861034,152,*,2.29,2.78,1.54,1.24
11,21026584,21026745,162,*,2.29,2.78,1.54,1.24
11,57966836,57966994,159,*,2.29,2.78,1.54,1.24
12,84202624,84202771,148,*,2.29,2.78,1.54,1.24
14,78559171,78559331,161,*,2.29,2.78,1.54,1.24
15,60836445,60836594,150,*,2.29,2.78,1.54,1.24
17,36020922,36021069,148,*,2.29,2.78,1.54,1.24
18,62169254,62169440,187,*,2.29,2.78,1.54,1.24
3,63941358,63941527,170,*,2.29,2.78,1.54,1.24
4,118427620,118427885,266,*,2.29,2.78,1.54,1.24
4,141618625,141618807,183,*,2.29,2.78,1.54,1.24
5,37196938,37197117,180,*,2.29,2.78,1.54,1.24
5,105010481,105010671,191,*,2.29,2.78,1.54,1.24
6,99061083,99061244,162,*,2.29,2.78,1.54,1.24
